Rk,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP,PTS▼,TRB,AST
70,Jaylen Hoard\hoardja01,Nov 10 '19 POR vs. ATL,20,1,4,12,1,2,0,0,1,2,1,5,2,1,0,0,1,3,.500,,.500,3.0,0.8,1.3,0.5
71,Brian Bowen\bowenbr02,Nov 12 '19 IND vs. OKC,21,1,3,10,1,4,0,1,0,0,0,1,0,0,1,0,0,2,.250,.000,,3.3,0.7,0.3,0.0
72,Nigel Williams-Goss\willini01,Oct 25 '19 UTA @ LAL,25,1,7,22,0,5,0,1,2,2,1,2,2,0,1,1,1,2,.000,.000,1.000,3.1,0.3,0.3,0.3
73,Jarrell Brantley\brantja01,Oct 25 '19 UTA @ LAL,23,1,2,9,0,0,0,0,0,0,0,4,1,0,2,1,1,0,,,,4.5,0.0,2.0,0.5
74,Vlatko Čančar\cancavl01,Oct 31 '19 DEN @ NOP,22,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.0,0.0,0.0,0.0
75,Jared Harper\harpeja01,Oct 23 '19 PHO vs. SAC,22,1,1,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.000,.000,,2.0,0.0,0.0,0.0
76,Talen Horton-Tucker\hortota01,Dec 8 '19 LAL vs. MIN,19,1,1,2,0,1,0,1,0,0,0,0,1,0,0,0,0,0,.000,.000,,2.0,0.0,0.0,1.0
77,Keldon Johnson\johnske04,Nov 22 '19 SAS @ PHI,20,1,1,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,.000,,,2.0,0.0,0.0,0.0
78,Stanton Kidd\kiddst01,Oct 25 '19 UTA @ LAL,27,1,4,15,0,3,0,1,0,0,0,3,1,0,0,2,3,0,.000,.000,,3.8,0.0,0.8,0.3
79,John Konchar\konchjo01,Nov 9 '19 MEM vs. DAL,23,1,1,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,7.0,0.0,0.0,0.0
80,Romeo Langford\langfro01,Oct 30 '19 BOS vs. MIL,20,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,0.0,0.0,0.0,0.0
81,Garrison Mathews\mathega01,Oct 23 '19 WAS @ DAL,23,1,2,14,0,2,0,2,0,0,0,1,2,0,0,1,3,0,.000,.000,,7.0,0.0,0.5,1.0
82,Juwan Morgan\morgaju01,Nov 27 '19 UTA @ IND,22,1,3,9,0,0,0,0,0,0,0,2,0,0,0,1,1,0,,,,3.0,0.0,0.7,0.0
83,Zach Norvell\norveza01,Oct 25 '19 LAL vs. UTA,22,1,2,5,0,1,0,0,0,0,0,1,0,0,0,0,0,0,.000,,,2.5,0.0,0.5,0.0
84,KZ Okpala\okpalkz01,Oct 23 '19 MIA vs. MEM,20,1,2,3,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,1.5,0.0,0.5,0.0
85,Miye Oni\onimi01,Nov 11 '19 UTA @ GSW,22,1,3,8,0,0,0,0,0,0,0,1,0,0,0,1,0,0,,,,2.7,0.0,0.3,0.0
